Ticker,CompanyName,Country,Score,Value,Quality,FinancialHealth,Technical,Insider,Momentum,Stability,Size,Credit,Liquidity,Carry,Growth,Sector,Industry
GOOGL,Alphabet Inc.,United States,93.93,0.351,0.932,0.886,0.7766,-0.81,0.472,0.396,0.0,0.96,1.0,0.29,0.57,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,United States,92.8,0.35,0.932,0.886,0.7723,-0.95,0.471,0.399,0.0,0.96,0.64,0.29,0.57,Communication Services,Internet Content & Information
META,"Meta Platforms, Inc.",United States,91.45,0.334,0.971,0.9,0.7643,-0.96,0.501,0.416,0.05,0.89,0.36,0.28,0.721,Communication Services,Internet Content & Information
ATHM,Autohome Inc.,China,74.87,0.603,0.562,1.0,0.5072,0.0,0.438,0.447,0.8,1.0,0.0,0.96,0.257,Communication Services,Internet Content & Information
XOM,Exxon Mobil Corporation,United States,61.07,0.373,0.301,0.59,0.6127,-0.79,0.404,0.678,0.61,0.82,0.53,0.8,0.33,Energy,Oil & Gas Integrated
MTCH,"Match Group, Inc.",United States,57.06,0.565,0.96,0.0,0.7691,-0.89,0.411,0.367,0.8,0.63,0.11,0.45,0.52,Communication Services,Internet Content & Information
BIDU,"Baidu, Inc.",China,56.25,0.806,0.548,0.876,0.4567,0.0,0.428,0.537,0.79,0.62,0.15,0.0,0.257,Communication Services,Internet Content & Information
MOMO,Hello Group Inc.,China,54.42,0.79,0.32,0.916,0.6885,0.0,0.457,0.458,0.8,0.63,0.01,0.0,0.257,Communication Services,Internet Content & Information
NBIS,Nebius Group N.V.,Netherlands,42.75,0.3,0.356,1.0,0.8897,0.0,0.728,0.327,0.79,0.0,0.33,0.0,0.832,Communication Services,Internet Content & Information
YPF,YPF Sociedad Anónima,Argentina,38.1,0.67,0.154,0.205,0.2409,0.0,0.486,0.505,0.8,0.48,0.05,0.0,0.67,Energy,Oil & Gas Integrated
