regime,regime_name,start_date,end_date,days,mean_return,volatility,sharpe
0,High Volatility,2015-09-04,2015-10-22,48,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2015-11-06,2015-11-18,12,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2015-12-02,2016-02-10,70,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2016-02-16,2016-04-11,55,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2016-04-28,2016-05-04,6,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2016-06-10,2016-07-25,45,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2016-09-12,2016-10-17,35,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2016-11-01,2016-12-01,30,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2017-04-11,2017-04-24,13,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2017-05-18,2017-05-22,4,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2017-08-11,2017-09-11,31,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-01-29,2018-02-01,3,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-02-15,2018-03-05,18,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-03-19,2018-04-17,29,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-05-29,2018-06-01,3,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-06-21,2018-07-06,15,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-08-10,2018-08-15,5,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-10-04,2018-12-19,76,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2018-12-27,2019-01-07,11,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2019-03-22,2019-03-25,3,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2019-05-06,2019-06-07,32,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2019-07-31,2019-08-02,2,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2019-08-16,2019-10-11,56,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2019-12-02,2019-12-04,2,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-01-24,2020-02-07,14,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-02-20,2020-02-21,1,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-05-04,2020-06-02,29,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-06-12,2020-07-14,32,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-07-22,2020-08-03,12,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-08-12,2020-09-02,21,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-09-09,2020-10-19,40,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2020-10-26,2020-12-21,56,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-01-04,2021-03-24,79,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-05-10,2021-05-25,15,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-06-17,2021-06-21,4,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-07-06,2021-08-03,28,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-08-17,2021-08-20,3,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-09-09,2021-10-05,26,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2021-12-06,2021-12-23,17,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2022-01-13,2022-08-05,204,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2022-08-19,2023-01-20,154,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2023-02-16,2023-02-24,8,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2023-03-09,2023-04-14,36,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2023-05-02,2023-05-05,3,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2023-08-15,2023-08-24,9,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2023-09-21,2023-10-06,15,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2023-10-13,2023-10-30,17,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2024-04-04,2024-04-22,18,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2024-07-17,2024-08-01,15,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2024-08-08,2024-09-19,42,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2024-10-31,2024-11-15,15,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2024-12-19,2025-01-17,29,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2025-01-27,2025-01-27,0,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2025-02-21,2025-04-02,40,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2025-05-07,2025-06-17,41,0.062448825052963626,0.1817593503891025,0.34357971086095934
0,High Volatility,2025-08-01,2025-08-04,3,0.062448825052963626,0.1817593503891025,0.34357971086095934
1,Crisis/Bear,2016-02-11,2016-02-12,1,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2016-06-24,2016-06-27,3,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2016-09-09,2016-09-09,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2017-05-17,2017-05-17,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2017-08-10,2017-08-10,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2018-02-02,2018-02-14,12,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2018-10-10,2018-10-11,1,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2018-12-20,2018-12-26,6,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2019-08-05,2019-08-15,10,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2020-02-24,2020-05-01,67,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2020-05-18,2020-05-18,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2020-06-03,2020-06-11,8,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2020-08-04,2020-08-11,7,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2020-09-03,2020-09-08,5,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2020-11-09,2020-11-09,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2021-01-27,2021-01-27,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2021-02-25,2021-02-26,1,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2021-11-26,2021-12-03,7,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2022-03-07,2022-03-08,1,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2022-06-13,2022-06-13,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2024-08-02,2024-08-07,5,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2024-12-18,2024-12-18,0,-1.14169716204703,0.5011513731925411,-2.2781483262710585
1,Crisis/Bear,2025-04-03,2025-05-06,33,-1.14169716204703,0.5011513731925411,-2.2781483262710585
2,Steady Growth,2015-10-23,2015-11-05,13,0.3893880922895523,0.08369341660827871,4.652553427374778
